
Epoch: 4 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 5 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 6 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 7 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 8 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 9 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 10 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 11 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 12 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 13 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 14 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 15 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 16 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 17 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 18 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 19 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 20 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 21 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 22 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 23 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 24 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 25 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 26 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 27 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 28 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 29 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 30 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 31 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 32 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 33 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 34 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 35 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 36 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 37 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 38 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 39 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 40 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 41 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 42 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 43 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 44 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 45 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 46 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 47 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 48 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 49 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 50 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 51 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 52 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 53 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 54 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 0 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 1 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 2 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 3 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 4 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 5 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 6 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 7 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 8 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 9 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 10 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 11 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 12 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 13 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 14 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 15 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 16 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 17 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 18 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 19 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 20 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 21 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 22 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 23 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 24 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 25 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 26 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 27 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 28 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 29 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 30 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 31 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 32 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 33 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 34 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 35 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 36 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 37 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 38 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 39 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 40 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 41 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 42 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 43 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 44 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 45 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 46 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 47 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 48 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 49 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 50 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 51 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 52 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 53 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 54 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 0 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 1 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 2 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 3 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 4 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 5 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 6 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 7 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 8 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 9 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 10 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 11 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 12 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 13 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 14 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 15 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 16 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 17 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 18 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 19 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 20 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 21 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 22 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 23 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 24 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 25 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 26 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 27 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 28 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 29 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 30 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 31 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 32 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 33 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 34 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 35 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 36 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 37 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 38 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 39 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 40 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 41 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 42 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 43 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 44 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 45 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 46 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 47 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 48 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 49 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 50 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 51 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 52 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 53 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 54 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 0 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 1 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 2 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 3 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 4 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 5 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 6 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 7 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 8 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 9 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 10 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 11 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 12 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 13 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 14 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 15 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 16 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 17 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 18 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 19 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 20 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 21 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 22 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 23 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 24 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 25 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 26 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 27 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 28 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 29 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 30 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 31 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 32 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 33 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 34 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 35 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 36 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 37 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 38 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 39 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 40 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 41 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 42 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 43 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 44 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 45 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
Epoch: 46 | Device 0: b'NVIDIA H100 NVL', Memory : (90.97% free): 100485038080(total), 91414986752 (free), 9070051328 (used)
